PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Særheim summer 00 Gri	Særheim summer 01 Gri	Særheim summer 02 Gri	Særheim winter  05/20 Gri	Særheim winter  06/07 Gri
CLVI	36.26	55.1	33.54	8.03	37	40.78125	11.04	6.9	15.264	23.256
CRESI	6.38	7.42	8.8	2.38	10.96	3.59856	4.89	1.056	2.412	4.848
CRTI	12	12	12	12	12	18.945	18.945	18.945	12	12
CSTI	0	0	0	0	0	17.8605	4.89	2.7	0	0
LAII	0.42123	2.11	0.42123	0.1	0.4291	1.74	0.4	0.23	0.26865	0.7871
PHENI	0.01	0.01	0.01	0.01	0.01	0.25	0.25	0.25	0.01	0.01
TILTOTI	1153	2276	1153	3000	3680	2892	2092	2225	1600	2700
FRTILGI	0	0	0	0	0	0.3	0.3	0.3	0	0
LT50I	-5.9	-9.6	-15.71	-19.7	-21.7	-4.7894	-4.7894	-4.7894	-14.14	-16.18
CLAIV	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861	0.353533861
COCRESMX	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804	0.190448804
CSTAVM	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059	0.575957059
DAYLB	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968	0.392196968
DAYLP	0.665287	0.665287	0.665287	0.665287	0.665287	0.665287	0.665287	0.665287	0.665287	0.665287
DLMXGE	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596	0.991873596
FSLAMIN	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916	0.466634916
FSMAX	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693
HAGERE	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279	0.450495279
K	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001	0.847854001
LAICR	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487	5.226259487
LAIEFT	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269	0.19322269
LAITIL	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872	0.699609872
LFWIDG	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794	0.01512794
LFWIDV	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852	0.002728852
NELLVM	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921	2.342123921
PHENCR	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721	0.46183721
PHY	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212	67.15106212
RDRSCO	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372	0.08165372
RDRSMX	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394	0.056254394
RDRTEM	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633	0.001657633
RGENMX	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038	0.008257038
ROOTDM	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748	0.761061748
RRDMAX	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753	0.012393753
RUBISC	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368	4.177209368
SHAPE	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255	0.837979255
SIMAX1T	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661	0.02278661
SLAMAX	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152	0.066074152
TBASE	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091	2.27653091
