"row.names.dataframe_parameters."	"parModePrior_extended"	"parMAP_extended"	"parMaxL_extended"	"parMeanPosterior_extended"	"parVarPosterior_extended"	"parCVPosterior_extended"	"parMinPosterior_extended"	"parMaxPosterior_extended"
"CLVI"	6.9	6.9	6.9	NA	NA	NA	NA	NA
"CRESI"	1.056	1.056	1.056	NA	NA	NA	NA	NA
"CRTI"	18.945	18.945	18.945	NA	NA	NA	NA	NA
"CSTI"	2.7	2.7	2.7	NA	NA	NA	NA	NA
"LAII"	0.23	0.23	0.23	NA	NA	NA	NA	NA
"PHENI"	0.25	0.25	0.25	NA	NA	NA	NA	NA
"TILTOTI"	2225	2225	2225	NA	NA	NA	NA	NA
"FRTILGI"	0.3	0.446657494474618	0.446657494474618	0.389337105963325	0.00199957752459981	0.114853260059349	0.283906920266278	0.474876862784803
"LT50I"	-4.7894	-4.7894	-4.7894	NA	NA	NA	NA	NA
"CLAIV"	0.353533861	0.361681882731944	0.361681882731944	0.386215117110111	0.000566390208252281	0.0616209798051641	0.333049978054435	0.437711218973494
"COCRESMX"	0.190448804	0.195669972637796	0.195669972637796	0.177713651214444	0.000111520839801802	0.059423362898213	0.158236439350174	0.201757826783681
"CSTAVM"	0.575957059	0.444319562573287	0.444319562573287	0.448361476840576	0.00158080942183164	0.0886770969113453	0.373284955736259	0.586575549851693
"DAYLB"	0.392196968	0.551846692552703	0.551846692552703	0.480426373265193	0.00393169387918589	0.130515775431489	0.36551729381051	0.560709851732542
"DAYLP"	0.665287	0.79376193498497	0.79376193498497	0.760878229250218	0.00403498843882191	0.0834845267071015	0.643932307307255	0.878285629149808
"DLMXGE"	0.991873596	0.916195584361923	0.916195584361923	0.95162606587235	0.000819665087738525	0.0300851297944788	0.900994541933146	0.99993651800037
"FSLAMIN"	0.466634916	0.493817107912377	0.493817107912377	0.436061831691959	0.000501996976631702	0.0513809909608609	0.377988965871017	0.501947625849616
"FSMAX"	0.693	0.693	0.693	NA	NA	NA	NA	NA
"HAGERE"	0.450495279	0.206834047940719	0.206834047940719	0.254450371502051	0.00586090163953201	0.30087016705168	0.173114887161386	0.459772027274219
"K"	0.847854001	1.27540003217014	1.27540003217014	1.12516834040755	0.0131111854484701	0.101766180884078	0.839523225702453	1.28920178175021
"LAICR"	5.226259487	6.85974994411155	6.85974994411155	6.65864320381936	0.398277925111325	0.0947779636968507	5.226259487	7.7534176592161
"LAIEFT"	0.19322269	0.256044955499944	0.256044955499944	0.230778424314458	0.000241303600140626	0.0673111014034473	0.191588918106638	0.264843676184202
"LAITIL"	0.699609872	0.801496504134086	0.801496504134086	0.773493936966764	0.00342655748482552	0.0756784271142686	0.655180164933491	0.920590612848945
"LFWIDG"	0.01512794	0.0221708865825989	0.0221708865825989	0.0194411375028542	6.51753935410843e-06	0.131316760115734	0.0142058018998871	0.0234091825193164
"LFWIDV"	0.002728852	0.00319876436111633	0.00319876436111633	0.00291143970244216	8.44861162038703e-08	0.0998354714318171	0.00221480337338393	0.00338928311313584
