station	year	DOY	TMIN °C	TMAX °C	PREC (mm)	Global rad (MJ m-2)	Pot evapotranspiration (mm)
46	1	1	-2.4	2.3	8.5	0.25	0
46	1	2	-2	5.1	0	0.23	0
46	1	3	-1.8	2.1	4.8	0.23	0
46	1	4	-6	3.1	0	0.19	0
46	1	5	-14.4	-8.5	0	1.3	0.08
46	1	6	-20.1	-12.2	0	1.2	0.05
46	1	7	0.4	4	1.7	0.24	0
46	1	8	0.7	1.3	6.3	0.3	0
46	1	9	-15.4	-9.5	2.2	0.29	0
46	1	10	-11.8	-3.7	0	0.93	0.05
46	1	11	-11.5	-5	0	0.95	0.05
46	1	12	-8.7	-6.8	0	0.33	0
46	1	13	-11.8	-3.4	0	0.28	0
46	1	14	-10.5	-1.9	0	0.21	0
46	1	15	-4.8	1.6	0	0.34	0
46	1	16	-0.7	0.5	8.4	0.31	0
46	1	17	-8.6	-5.6	3.5	0.37	0
46	1	18	-8	-3.5	6.7	0.42	0
46	1	19	-6.6	-0.4	0	1.3	0.11
46	1	20	-10.8	-2.1	0	0.3	0
46	1	21	-4.6	1.5	0	0.27	0
46	1	22	-1.2	4.1	0.3	0.36	0
46	1	23	-9.3	-5.7	0	1.93	0.16
46	1	24	-13.2	-8	0	0.4	0
46	1	25	-4.7	1.5	0	3.2	0.38
46	1	26	-5.7	1.8	0	1.02	0.08
46	1	27	-11.4	-6.8	0	3.16	0.27
46	1	28	-14.9	-7.8	0	0.95	0.05
46	1	29	-9.1	-2.8	0	0.44	0
46	1	30	-13.4	-6.4	0	2.13	0.16
46	1	31	-9.5	-2.5	0	1.14	0.08
46	1	32	-6.7	-1.6	0	0.5	0.01
46	1	33	-10.4	-5.6	0	3.46	0.31
46	1	34	-10.7	-9.4	0	4.14	0.35
46	1	35	-3	1.2	0	3.08	0.37
46	1	36	-6.8	-2.5	0	3.07	0.32
46	1	37	-5.3	-2.4	4.2	0.48	0.01
46	1	38	-9	-6.8	0	2.08	0.17
46	1	39	-8	-4.4	2.4	0.72	0.03
46	1	40	-10.6	-9.4	0	1	0.05
46	1	41	-12.6	-5.8	0	1.1	0.07
46	1	42	-9	-6.6	0	0.72	0.03
46	1	43	-13.6	-10.3	0	0.59	0.01
46	1	44	-22.2	-8.6	0	2.13	0.12
46	1	45	-11.1	-6.4	0	0.8	0.04
46	1	46	-10.6	-5.1	0.9	0.72	0.03
46	1	47	-0.3	6.9	0	2.33	0.31
46	1	48	1.6	2.7	8.1	1.88	0.23
46	1	49	-16.4	-8.4	0	1.7	0.1
46	1	50	-16.2	-9.5	0	1.63	0.1
46	1	51	-5.5	1.4	0	0.98	0.08
46	1	52	-5.1	-1.3	2.2	0.67	0.03
46	1	53	-11.3	-7.3	0	4.98	0.44
46	1	54	-10.9	-3.1	6.1	5.34	0.53
