PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Særheim summer 00 Gri	Særheim summer 01 Gri	Særheim summer 02 Gri	Særheim winter  05/20 Gri	Særheim winter  06/07 Gri
LOG10CLVI	1	1	1	1	1	1	1	1	1	1
LOG10CRESI	0	0	0	0	0	0	0	0	0	0
LOG10CRTI	1	1	1	1	1	1	1	1	1	1
CSTI	0	0	0	0	0	0	0	0	0	0
LOG10LAII	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
PHENI	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
TILTOTI	800	800	800	800	800	800	800	800	800	800
FRTILGI	0	0	0	0	0	0	0	0	0	0
LT50I	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894
CLAIV	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
COCRESMX	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155	0.141155
CSTAVM	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575	0.229575
DAYLB	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664	0.539664
DAYLP	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348	0.632348
DLMXGE	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974	0.936974
FSLAMIN	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948	0.686948
FSMAX	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693	0.693
HAGERE	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
K	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039	0.607039
LAICR	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569	3.79569
LAIEFT	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
LAITIL	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455	0.566455
LFWIDG	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207	0.0085207
LFWIDV	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875
NELLVM	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178
PHENCR	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209
PHY	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532
RDRSCO	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247
RDRSMX	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
RDRTEM	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573
RGENMX	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797
ROOTDM	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
RRDMAX	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012
RUBISC	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803
SHAPE	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907
SIMAX1T	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449
SLAMAX	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
TBASE	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083
TCRES	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986
TOPTGE	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178
TRANCO	8	8	8	8	8	8	8	8	8	8
YG	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767
LAT	60.77	61.29	69.65	69.65	63.5	58.46	58.46	58.46	58.46	58.46
WCI	0.22	0.3	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3
FWCAD	0.047826087	0.011363636	0.019607843	0.019607843	0.019607843	0.011363636	0.011363636	0.011363636	0.011363636	0.011363636
FWCWP	0.141304348	0.056818182	0.058823529	0.058823529	0.058823529	0.056818182	0.056818182	0.056818182	0.056818182	0.056818182
FWCFC	0.47826087	0.681818182	0.784313725	0.784313725	0.784313725	0.681818182	0.681818182	0.681818182	0.681818182	0.681818182
FWCWET	0.934782609	1	0.960784314	0.960784314	0.960784314	1	1	1	1	1
WCST	0.46	0.44	0.51	0.51	0.51	0.44	0.44	0.44	0.44	0.44
WpoolMax	50	50	50	50	50	50	50	50	50	50
Dparam	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796	0.0031796
FGAS	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
FO2MX	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21
gamma	65	65	65	65	65	65	65	65	65	65
Hparam	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925	0.0055925
KRDRANAER	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
KRESPHARD	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
KRSR3H	1	1	1	1	1	1	1	1	1	1
KRTOTAER	2	2	2	2	2	2	2	2	2	2
KSNOW	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035	0.035
LAMBDAsoil	172800	172800	172800	172800	172800	172800	172800	172800	172800	172800
LDT50A	1.3403	1.3403	1.3403	1.3403	1.3403	1.3403	1.3403	1.3403	1.3403	1.3403
LDT50B	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128	-2.1128
LT50MN	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839	-26.6839
LT50MX	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894	-4.7894
RATEDMX	2	2	2	2	2	2	2	2	2	2
reHardRedDay	145	145	145	145	145	145	145	145	145	145
RHOnewSnow	100	100	100	100	100	100	100	100	100	100
RHOpack	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
SWret	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
SWrf	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
THARDMX	14.7052	14.7052	14.7052	14.7052	14.7052	14.7052	14.7052	14.7052	14.7052	14.7052
TmeltFreeze	0	0	0	0	0	0	0	0	0	0
TrainSnow	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
TsurfDiff	0.62279	0.62279	0.62279	0.62279	0.62279	0.62279	0.62279	0.62279	0.62279	0.62279
KLUETILG	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
FRTILGG1I	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
DAYLG1G2	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
RGRTG1G2	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
RDRTMIN	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
TVERN	20	20	20	20	20	20	20	20	20	20
